Current	Voltage	Flow
-1.1830666	-3.0073395	0.22336267
-1.2301752	-2.8867439	0.47774307
-1.391981	-2.9983858	0.036832473
-1.5318777	-2.7705862	0.46643477
-1.7441447	-2.8037863	0.17116757
-1.4488353	-2.9829739	0.018507773
-1.4194529	-2.8446706	0.39364857
-1.2113456	-2.8621362	0.55809187
-1.7890509	-2.8790522	-0.061903427
-1.3976907	-3.0265799	-0.039362527
-1.8831653	-2.8567807	-0.10033913
-1.2420796	-3.0522621	0.052043073
-1.959193	-2.7933858	-0.017879627
-2.0648386	-3.1325706	-0.97148719
-1.9306046	-3.0482345	-0.62641282
-2.0441459	-3.0777787	-0.81381478
-1.3347619	-3.1172161	-0.20302413
-1.1981672	-2.8849642	0.51420027
-1.9262265	-2.8148357	-0.038537827
-1.8903213	-3.0670883	-0.633264
-1.9783144	-3.0149169	-0.59082862
-1.4900415	-3.0922812	-0.29596653
-1.8281953	-3.117802	-0.69792228
-1.8727755	-2.9040845	-0.20820873
-1.9972722	-2.7747567	-0.0093861268
-1.3257059	-2.9937164	0.11478117
-2.1382186	-3.0175807	-0.75739247
-1.80828	-2.7899313	0.14166977
-1.1955057	-3.1362145	-0.11126403
-1.8316513	-2.7858538	0.12849227
-1.5925962	-2.8133352	0.29884377
-1.6051416	-3.0789163	-0.37765443
-1.7619753	-2.7663129	0.24702047
-1.2113456	-2.8621362	0.55809187
-1.9123024	-3.1075924	-0.75650544
-1.5245972	-2.8023698	0.39425627
-1.3654002	-3.0529609	-0.073024427
-1.1871861	-3.0465666	0.12117527
-1.9786371	-3.002695	-0.56059673
-2.0441459	-3.0777787	-0.81381478
-1.701939	-3.0875353	-0.49599913
-2.0866235	-3.1237817	-0.9712996
-1.9123024	-3.1075924	-0.75650544
-1.2002442	-2.7534037	0.84102447
-1.3347619	-3.1172161	-0.20302413
-1.7977761	-3.0974973	-0.61674121
-1.9247806	-3.1382238	-0.84556218
-1.4900415	-3.0922812	-0.29596653
-1.701939	-3.0875353	-0.49599913
-1.3976907	-3.0265799	-0.039362527
-1.2420796	-3.0522621	0.052043073
-1.5470997	-2.8925522	0.14629777
-1.7977761	-3.0974973	-0.61674121
-1.8349598	-2.8556738	-0.049366227
-1.5261057	-3.0885639	-0.32273753
-1.4898028	-2.9828311	-0.022102727
-1.959193	-2.7933858	-0.017879627
-1.3654002	-3.0529609	-0.073024427
-1.4405697	-3.0451692	-0.12871473
-2.1382186	-3.0175807	-0.75739247
-1.9425954	-3.1307165	-0.84460867
-2.0986945	-2.7930468	-0.15653363
-1.5282969	-2.8515889	0.26750877
-2.1122111	-2.8542268	-0.32300023
-2.0163654	-2.8560786	-0.23178403
-1.1705284	-3.0771454	0.061386173
-1.185388	-2.872059	0.55924237
-1.9793124	-3.114294	-0.84026949
-1.2855555	-2.9370876	0.29650367
-1.1981672	-2.8849642	0.51420027
-1.6051416	-3.0789163	-0.37765443
-1.9859247	-2.7879839	-0.031106427
-2.1105386	-2.755943	-0.075618027
-1.5599983	-3.0190529	-0.18285263
-1.4209128	-2.8288079	0.43184537
-2.134169	-2.8507219	-0.33619563
-1.1910933	-2.8863041	0.51792437
-1.830659	-2.753712	0.20983907
-1.1973579	-3.0667968	0.060427873
-1.7619753	-2.7663129	0.24702047
-1.1910933	-2.8863041	0.51792437
-2.0104543	-3.0633004	-0.74392717
-1.4617344	-3.0315527	-0.11583823
-1.80828	-2.7899313	0.14166977
-2.1105386	-2.755943	-0.075618027
-2.1122111	-2.8542268	-0.32709073
-1.2002442	-2.7534037	0.57158197
-1.9262265	-2.8148357	-0.057690027
-2.1105386	-2.755943	0.087473873
-1.1705284	-3.0771454	-0.33196283
-1.872611	-2.8207536	-0.050519727
-1.5470997	-2.8925522	-0.13698393
-1.7890509	-2.8790522	-0.21666763
-1.4898028	-2.9828311	-0.34004903
-1.9306046	-3.0482345	-0.67312182
-1.1731418	-3.0036063	-0.23999823
-1.3976907	-3.0265799	-0.37281823
-2.134169	-2.8507219	-0.32967313
-1.391981	-2.9983858	-0.32475973
-1.80828	-2.7899313	0.11497407
-1.6051416	-3.0789163	-0.52818193
-1.1910933	-2.8863041	0.040896973
-1.5671747	-2.9431907	-0.28823413
-1.1955057	-3.1362145	-0.36808203
-1.2636512	-2.7595532	0.51527457
-1.9425954	-3.1307165	-0.73399645
-1.4741605	-2.8340689	0.10074947
-2.0986945	-2.7930468	-0.074703827
-2.0295205	-3.1044342	-0.77981623
-1.3528097	-2.8023889	0.28356947
-1.8903213	-3.0670883	-0.66934408
-2.0441459	-3.0777787	-0.77239819
-1.9453638	-2.9356405	-0.47129133
-1.9123024	-3.1075924	-0.70958629
-1.8529638	-3.05853	-0.63962732
-1.1871861	-3.0465666	-0.30837143
-2.0866235	-3.1237817	-0.82385107
-2.0104543	-3.0633004	-0.73804361
-1.9972722	-2.7747567	0.072953073
-1.8727755	-2.9040845	-0.34141073
-1.1981672	-2.8849642	0.042243673
-1.8349598	-2.8556738	-0.16173383
-1.4900415	-3.0922812	-0.48249523
-1.3347619	-3.1172161	-0.42391543
-1.5245972	-2.8023698	0.20528477
-1.701939	-3.0875353	-0.58317521
-1.3030372	-2.7450707	0.56884867
-2.1357079	-2.9497402	-0.62949447
-1.5599983	-3.0190529	-0.43694913
-1.959193	-2.7933858	0.013078473
-1.1830666	-3.0073395	-0.25045233
-1.4160314	-2.9465259	-0.22592653
-1.7839675	-2.7583069	0.27345877
-2.0163654	-2.8560786	-0.27059403
-2.0648386	-3.1325706	-0.81084436
-1.4286916	-2.8731996	-0.019260727
-2.0053324	-2.923223	-0.47510393
-1.5417513	-3.1040341	-0.51324663
-1.3257059	-2.9937164	-0.28700403
-1.4488353	-2.9829739	-0.32141263
-1.2301752	-2.8867439	0.023158973
-2.0733159	-3.0363071	-0.7476734
-2.1382186	-3.0175807	-0.76518926
-1.1973579	-3.0667968	-0.33406803
-1.9783144	-3.0149169	-0.65608515
-1.9135449	-3.1415014	-0.7175391
-1.830659	-2.753712	0.27004367
-1.7977761	-3.0974973	-0.6400489
-1.2144896	-2.7419004	0.62227997
-1.7619753	-2.7663129	0.24730097
-1.1595801	-3.0876776	-0.33524923
-1.467321	-2.8241259	0.14274917
-2.123805	-2.8501526	-0.32036343
-1.9754392	-2.7505528	0.20108717
-2.0888165	-2.8816454	-0.40497853
-1.185388	-2.872059	0.089989073
-1.841707	-2.9851523	-0.52347313
-1.8831653	-2.8567807	-0.19293243
-1.8117279	-2.9468227	-0.42273123
-1.7484467	-2.9775937	-0.45763443
-1.2855555	-2.9370876	-0.14491663
-1.9209286	-2.8742701	-0.27524353
-1.2113456	-2.8621362	0.11323247
-1.5261057	-3.0885639	-0.49705483
-1.4194529	-2.8446706	0.085724873
-1.2614385	-2.8772198	0.040834573
-1.5925962	-2.8133352	0.12686497
-1.9787945	-3.1051965	-0.74839289
-1.504022	-3.0366056	-0.43533743
-1.4617344	-3.0315527	-0.40890363
-1.8316513	-2.7858538	0.12010957
-1.4209128	-2.8288079	0.14551187
-1.7441447	-2.8037863	0.089748173
-1.5282969	-2.8515889	0.0099705732
-1.9786371	-3.002695	-0.63599706
-1.4371064	-2.8146052	0.19494937
-1.5318777	-2.7705862	0.34291997
-1.4405697	-3.0451692	-0.41677513
-1.3654002	-3.0529609	-0.39201203
-1.2420796	-3.0522621	-0.33791153
-1.9793124	-3.114294	-0.75233271
-1.9247806	-3.1382238	-0.72407784
-1.8500322	-3.1329131	-0.68062868
-1.8281953	-3.117802	-0.6653734
-1.9859247	-2.7879839	0.020431773
